Subject	Site	Sex	Group	Age	Date	Day	Session	Condition	trial_number	Side	Distractor_left	Distractor_right	Platform	chosen_level	chose_side	correct	Comment	Level mistakes	Switches	Chosen_distractor	switching_mistakes
William	kenya	m	young chimps	18	25/10/2018	16	1	Training01	1	l			1		l	1					
William	kenya	m	young chimps	18	25/10/2018	16	1	Training01	2	r			1		r	1					
William	kenya	m	young chimps	18	25/10/2018	16	1	Training01	3	l			1		l	1					
William	kenya	m	young chimps	18	25/10/2018	16	1	Training01	4	r			2		r	1					
William	kenya	m	young chimps	18	25/10/2018	16	1	Training01	5	l			2		r	0					
William	kenya	m	young chimps	18	25/10/2018	16	1	Training01	6	r			2		r	1					
William	kenya	m	young chimps	18	25/10/2018	16	1	Training01	7	l			2		r	0					
William	kenya	m	young chimps	18	25/10/2018	16	1	Training01	8	r			2		r	1					
William	kenya	m	young chimps	18	25/10/2018	16	1	Training01	9	r			2		r	1					
William	kenya	m	young chimps	18	25/10/2018	16	1	Training01	10	l			2		r	0					
William	kenya	m	young chimps	18	25/10/2018	16	1	Training01	11	r			2		r	1					
William	kenya	m	young chimps	18	25/10/2018	16	1	Training01	12	l			2		r	0					
William	kenya	m	young chimps	18	25/10/2018	16	1	Training01	13	r			2		l	0					
William	kenya	m	young chimps	18	25/10/2018	16	1	Training01	14	r			2		r	1					
William	kenya	m	young chimps	18	25/10/2018	16	1	Training01	15	l			2		l	1					
William	kenya	m	young chimps	18	25/10/2018	16	1	Training01	16	l			2		l	1					
Tess	kenya	f	young chimps	26	25/10/2018	16	1	Training01	1	r			1		r	1					
Tess	kenya	f	young chimps	26	25/10/2018	16	1	Training01	2	l			1		l	1					
Tess	kenya	f	young chimps	26	25/10/2018	16	1	Training01	3	r			1		r	1					
Tess	kenya	f	young chimps	26	25/10/2018	16	1	Training01	4	r			2		l	0					
Tess	kenya	f	young chimps	26	25/10/2018	16	1	Training01	5	l			2		l	1					
Tess	kenya	f	young chimps	26	25/10/2018	16	1	Training01	6	r			2		r	1					
Tess	kenya	f	young chimps	26	25/10/2018	16	1	Training01	7	l			2		r	0					
Tess	kenya	f	young chimps	26	25/10/2018	16	1	Training01	8	r			2		r	1					
Tess	kenya	f	young chimps	26	25/10/2018	16	1	Training01	9	r			2		r	1					
Tess	kenya	f	young chimps	26	25/10/2018	16	1	Training01	10	l			2		r	0					
Tess	kenya	f	young chimps	26	25/10/2018	16	1	Training01	11	r			2		r	1					
Tess	kenya	f	young chimps	26	25/10/2018	16	1	Training01	12	l			2		l	1					
Tess	kenya	f	young chimps	26	25/10/2018	16	1	Training01	13	r			2		r	1					
Amizero	kenya	f	young chimps	29	25/10/2018	16	1	Training01	1	l			1		r	0					
Amizero	kenya	f	young chimps	29	25/10/2018	16	1	Training01	2	r			1		r	1					
Amizero	kenya	f	young chimps	29	25/10/2018	16	1	Training01	3	l			1		r	0					
Amizero	kenya	f	young chimps	29	25/10/2018	16	1	Training01	4	r			1		r	1					
Amizero	kenya	f	young chimps	29	25/10/2018	16	1	Training01	5	l			1		l	1					
Amizero	kenya	f	young chimps	29	25/10/2018	16	1	Training01	6	r			1		r	1					
Amizero	kenya	f	young chimps	29	25/10/2018	16	1	Training01	7	l			2		l	1					
Amizero	kenya	f	young chimps	29	25/10/2018	16	1	Training01	8	r			2		l	0					
Amizero	kenya	f	young chimps	29	25/10/2018	16	1	Training01	9	r			2		l	0					
Amizero	kenya	f	young chimps	29	25/10/2018	16	1	Training01	10	l			2		l	1					
Amizero	kenya	f	young chimps	29	25/10/2018	16	1	Training01	11	r			2		r	1					
Amizero	kenya	f	young chimps	29	25/10/2018	16	1	Training01	12	l			2		r	0					
Amizero	kenya	f	young chimps	29	25/10/2018	16	1	Training01	13	r			2		r	1					
Amizero	kenya	f	young chimps	29	25/10/2018	16	1	Training01	14	r			2		l	0					
Amizero	kenya	f	young chimps	29	25/10/2018	16	1	Training01	15	l			2		r	0					
Amizero	kenya	f	young chimps	29	25/10/2018	16	1	Training01	16	l			2		l	1					
Amizero	kenya	f	young chimps	29	25/10/2018	16	1	Training01	17	r			2		r	1					
Amizero	kenya	f	young chimps	29	25/10/2018	16	1	Training01	18	l			2		l	1					
Roy	kenya	m	young chimps	11	25/10/2018	16	1	Training01	1	l			1		r	0					
Roy	kenya	m	young chimps	11	25/10/2018	16	1	Training01	2	r			1		r	1					
Roy	kenya	m	young chimps	11	25/10/2018	16	1	Training01	3	l			1		r	0					
Roy	kenya	m	young chimps	11	25/10/2018	16	1	Training01	4	r			1		r	1					
Roy	kenya	m	young chimps	11	25/10/2018	16	1	Training01	5	l			1		l	1					
Roy	kenya	m	young chimps	11	25/10/2018	16	1	Training01	6	r			1		r	1					
Roy	kenya	m	young chimps	11	25/10/2018	16	1	Training01	7	l			2		l	1					
Roy	kenya	m	young chimps	11	25/10/2018	16	1	Training01	8	r			2		r	1					
Roy	kenya	m	young chimps	11	25/10/2018	16	1	Training01	9	r			2		r	1					
Manno	kenya	m	young chimps	5	25/10/2018	16	1	Training01	1	l			1		l	1					
Manno	kenya	m	young chimps	5	25/10/2018	16	1	Training01	2	r			1		l	0					
Manno	kenya	m	young chimps	5	25/10/2018	16	1	Training01	3	l			1		l	1					
Manno	kenya	m	young chimps	5	25/10/2018	16	1	Training01	4	r			1		r	1					
Manno	kenya	m	young chimps	5	25/10/2018	16	1	Training01	5	l			1		l	1					
Manno	kenya	m	young chimps	5	25/10/2018	16	1	Training01	6	r			2		l	0					
Manno	kenya	m	young chimps	5	25/10/2018	16	1	Training01	7	l			2		l	1					
Manno	kenya	m	young chimps	5	25/10/2018	16	1	Training01	8	r			2		r	1					
Manno	kenya	m	young chimps	5	25/10/2018	16	1	Training01	9	r			2		r	1					
Jane	kenya	f	young chimps	14	25/10/2018	16	1	Training01	1	l			1		r	0					
Jane	kenya	f	young chimps	14	25/10/2018	16	1	Training01	2	r			1		r	1					
Jane	kenya	f	young chimps	14	25/10/2018	16	1	Training01	3	l			1		r	0					
Jane	kenya	f	young chimps	14	25/10/2018	16	1	Training01	4	r			1		r	1					
Jane	kenya	f	young chimps	14	25/10/2018	16	1	Training01	5	l			1		r	0					
Jane	kenya	f	young chimps	14	25/10/2018	16	1	Training01	6	r			1		r	1					
Jane	kenya	f	young chimps	14	25/10/2018	16	1	Training01	7	l			1		r	0					
Jane	kenya	f	young chimps	14	25/10/2018	16	1	Training01	8	r			1		r	1					
Jane	kenya	f	young chimps	14	25/10/2018	16	1	Training01	9	r			1		r	1					
Jane	kenya	f	young chimps	14	25/10/2018	16	1	Training01	10	l			1		r	0					
Jane	kenya	f	young chimps	14	25/10/2018	16	1	Training01	11	r			1		r	1					
Jane	kenya	f	young chimps	14	25/10/2018	16	1	Training01	12	l			1		l	1					
Jane	kenya	f	young chimps	14	25/10/2018	16	1	Training01	13	r			1		r	1					
Jane	kenya	f	young chimps	14	25/10/2018	16	1	Training01	14	r			2		r	1					
Jane	kenya	f	young chimps	14	25/10/2018	16	1	Training01	15	l			2		r	0					
Jane	kenya	f	young chimps	14	25/10/2018	16	1	Training01	16	l			2		l	1					
Jane	kenya	f	young chimps	14	25/10/2018	16	1	Training01	17	r			2		r	1					
Jane	kenya	f	young chimps	14	25/10/2018	16	1	Training01	18	l			2		l	1					
Chipie	kenya	f	young chimps	27	25/10/2018	16	1	Training01	1	l			1		l	1					
Chipie	kenya	f	young chimps	27	25/10/2018	16	1	Training01	2	r			1		l	0					
Chipie	kenya	f	young chimps	27	25/10/2018	16	1	Training01	3	l			1		l	1					
Chipie	kenya	f	young chimps	27	25/10/2018	16	1	Training01	4	r			1		l	0					
Chipie	kenya	f	young chimps	27	25/10/2018	16	1	Training01	5	l			1		l	1					
Chipie	kenya	f	young chimps	27	25/10/2018	16	1	Training01	6	r			1		l	0					
Chipie	kenya	f	young chimps	27	25/10/2018	16	1	Training01	7	l			1		l	1					
Chipie	kenya	f	young chimps	27	25/10/2018	16	1	Training01	8	r			1		r	1					
Chipie	kenya	f	young chimps	27	25/10/2018	16	1	Training01	9	r			1		l	0					
Chipie	kenya	f	young chimps	27	25/10/2018	16	1	Training01	10	l			1		l	1					
Chipie	kenya	f	young chimps	27	25/10/2018	16	1	Training01	11	r			1		r	1					
Chipie	kenya	f	young chimps	27	25/10/2018	16	1	Training01	12	l			1		l	1					
Chipie	kenya	f	young chimps	27	25/10/2018	16	1	Training01	13	r			2		r	1					
Chipie	kenya	f	young chimps	27	25/10/2018	16	1	Training01	14	r			2		r	1					
Chipie	kenya	f	young chimps	27	25/10/2018	16	1	Training01	15	l			2		r	0					
Chipie	kenya	f	young chimps	27	25/10/2018	16	1	Training01	16	l			2		r	0					
Chipie	kenya	f	young chimps	27	25/10/2018	16	1	Training01	17	r			2		r	1					
Chipie	kenya	f	young chimps	27	25/10/2018	16	1	Training01	18	l			2		r	0					
Chipie	kenya	f	young chimps	27	25/10/2018	16	1	Training01	19	r			2		r	1					
Chipie	kenya	f	young chimps	27	25/10/2018	16	1	Training01	20	l			2		r	0					
Chipie	kenya	f	young chimps	27	25/10/2018	16	1	Training01	21	r			2		r	1					
Chipie	kenya	f	young chimps	27	25/10/2018	16	1	Training01	22	l			2		r	0					
Chipie	kenya	f	young chimps	27	25/10/2018	16	1	Training01	23	r			2		r	1					
Chipie	kenya	f	young chimps	27	25/10/2018	16	1	Training01	24	l			2		r	0					
Chipie	kenya	f	young chimps	27	25/10/2018	16	1	Training01	25	r			2		r	1					
Chipie	kenya	f	young chimps	27	25/10/2018	16	1	Training01	26	l			2		r	0					
Chipie	kenya	f	young chimps	27	25/10/2018	16	1	Training01	27	r			2		r	1					
Chipie	kenya	f	young chimps	27	25/10/2018	16	1	Training01	28	l			2		r	0					
Chipie	kenya	f	young chimps	27	25/10/2018	16	1	Training01	29	l			2		r	0					
Chipie	kenya	f	young chimps	27	25/10/2018	16	1	Training01	30	l			2		r	0					
Chipie	kenya	f	young chimps	27	25/10/2018	16	1	Training01	31	r			2		r	1					
Chipie	kenya	f	young chimps	27	25/10/2018	16	1	Training01	32	l			2		r	0					
Chipie	kenya	f	young chimps	27	25/10/2018	16	1	Training01	33	r			2		r	1					
Chipie	kenya	f	young chimps	27	25/10/2018	16	1	Training01	34	l			2		r	0					
Chipie	kenya	f	young chimps	27	25/10/2018	16	1	Training01	35	r			2		r	1					
Chipie	kenya	f	young chimps	27	25/10/2018	16	1	Training01	36	l			2		r	0					
Uruhara	kenya	m	young chimps	29	25/10/2018	16	1	Training01	1	l			1		r	0					
Uruhara	kenya	m	young chimps	29	25/10/2018	16	1	Training01	2	r			1		r	1					
Uruhara	kenya	m	young chimps	29	25/10/2018	16	1	Training01	3	l			1		r	0					
Uruhara	kenya	m	young chimps	29	25/10/2018	16	1	Training01	4	r			1		l	0					
Uruhara	kenya	m	young chimps	29	25/10/2018	16	1	Training01	5	l			1		r	0					
Uruhara	kenya	m	young chimps	29	25/10/2018	16	1	Training01	6	r			1		r	1					
Uruhara	kenya	m	young chimps	29	25/10/2018	16	1	Training01	7	l			1		l	1					
Uruhara	kenya	m	young chimps	29	25/10/2018	16	1	Training01	8	r			1		l	0					
Uruhara	kenya	m	young chimps	29	25/10/2018	16	1	Training01	9	r			1		r	1					
Uruhara	kenya	m	young chimps	29	25/10/2018	16	1	Training01	10	l			1		r	0					
Uruhara	kenya	m	young chimps	29	25/10/2018	16	1	Training01	11	r			1		l	0					
Uruhara	kenya	m	young chimps	29	25/10/2018	16	1	Training01	12	l			1		l	1					
Uruhara	kenya	m	young chimps	29	25/10/2018	16	1	Training01	13	r			1		r	1					
Uruhara	kenya	m	young chimps	29	25/10/2018	16	1	Training01	14	r			1		l	0					
Uruhara	kenya	m	young chimps	29	25/10/2018	16	1	Training01	15	l			1		r	0					
Uruhara	kenya	m	young chimps	29	25/10/2018	16	1	Training01	16	l			1		l	1					
Uruhara	kenya	m	young chimps	29	25/10/2018	16	1	Training01	17	r			1		r	1					
Uruhara	kenya	m	young chimps	29	25/10/2018	16	1	Training01	18	l			1		r	0					
Uruhara	kenya	m	young chimps	29	25/10/2018	16	1	Training01	19	r			1		r	1					
Uruhara	kenya	m	young chimps	29	25/10/2018	16	1	Training01	20	l			1		r	0					
Uruhara	kenya	m	young chimps	29	25/10/2018	16	1	Training01	21	r			1		r	1					
Uruhara	kenya	m	young chimps	29	25/10/2018	16	1	Training01	22	l			1		r	0					
Uruhara	kenya	m	young chimps	29	25/10/2018	16	1	Training01	23	r			1		r	1					
Uruhara	kenya	m	young chimps	29	25/10/2018	16	1	Training01	24	l			1		r	0					
Uruhara	kenya	m	young chimps	29	25/10/2018	16	1	Training01	25	r			1		r	1					
Uruhara	kenya	m	young chimps	29	25/10/2018	16	1	Training01	26	l			1		l	1					
Uruhara	kenya	m	young chimps	29	25/10/2018	16	1	Training01	27	r			1		r	1					
Uruhara	kenya	m	young chimps	29	25/10/2018	16	1	Training01	28	l			2		r	0					
Uruhara	kenya	m	young chimps	29	25/10/2018	16	1	Training01	29	r			2		r	1					
Uruhara	kenya	m	young chimps	29	25/10/2018	16	1	Training01	30	l			2		r	0					
Uruhara	kenya	m	young chimps	29	25/10/2018	16	1	Training01	31	r			2		l	0					
Uruhara	kenya	m	young chimps	29	25/10/2018	16	1	Training01	32	l			2		r	0					
Uruhara	kenya	m	young chimps	29	25/10/2018	16	1	Training01	33	r			2		r	1					
Uruhara	kenya	m	young chimps	29	25/10/2018	16	1	Training01	34	l			2		r	0					
Uruhara	kenya	m	young chimps	29	25/10/2018	16	1	Training01	35	r			2		r	1					
Uruhara	kenya	m	young chimps	29	25/10/2018	16	1	Training01	36	l			2		l	1					
Amizero	kenya	f	young chimps	29	26/10/2018	17	2	Training02	1	r	box	grey	1	upper	r	0					
Amizero	kenya	f	young chimps	29	26/10/2018	17	2	Training02	2	l	box	grey	1	upper	r	0					
Amizero	kenya	f	young chimps	29	26/10/2018	17	2	Training02	3	r	grey	box	1	lower	l	0					
Amizero	kenya	f	young chimps	29	26/10/2018	17	2	Training02	4	l	grey	box	1	lower	l	1					
Amizero	kenya	f	young chimps	29	26/10/2018	17	2	Training02	5	r	box	grey	1	lower	r	1					
Amizero	kenya	f	young chimps	29	26/10/2018	17	2	Training02	6	l	box	grey	1	lower	l	1					
Amizero	kenya	f	young chimps	29	26/10/2018	17	2	Training02	7	r	grey	box	2	lower	l	0					
Amizero	kenya	f	young chimps	29	26/10/2018	17	2	Training02	8	l	grey	box	2	upper	l	1					
Amizero	kenya	f	young chimps	29	26/10/2018	17	2	Training02	9	r	box	grey	2	lower	l	0					
Amizero	kenya	f	young chimps	29	26/10/2018	17	2	Training02	10	l	grey	box	2	upper	l	1					
Amizero	kenya	f	young chimps	29	26/10/2018	17	2	Training02	11	r	grey	box	2	upper	r	1					
Amizero	kenya	f	young chimps	29	26/10/2018	17	2	Training02	12	l	box	grey	2	upper	l	1					
Amizero	kenya	f	young chimps	29	26/10/2018	17	2	Training02	13	r	grey	box	1	lower	r	1					
Amizero	kenya	f	young chimps	29	26/10/2018	17	2	Training02	14	l	grey	box	1	lower	l	1					
Amizero	kenya	f	young chimps	29	26/10/2018	17	2	Training02	15	r	box	grey	1	lower	r	1					
Tess	kenya	f	young chimps	26	26/10/2018	17	2	Training02	1	r	box	grey	1	lower	r	1					
Tess	kenya	f	young chimps	26	26/10/2018	17	2	Training02	2	l	box	grey	1	lower	l	1					
Tess	kenya	f	young chimps	26	26/10/2018	17	2	Training02	3	r	grey	box	1	lower	r	1					
Tess	kenya	f	young chimps	26	26/10/2018	17	2	Training02	4	l	grey	box	2	lower	r	0					
Tess	kenya	f	young chimps	26	26/10/2018	17	2	Training02	5	r	box	grey	2	upper	r	1					
Tess	kenya	f	young chimps	26	26/10/2018	17	2	Training02	6	l	box	grey	2	lower	l	0					
Tess	kenya	f	young chimps	26	26/10/2018	17	2	Training02	7	r	grey	box	2	upper	r	1					
Tess	kenya	f	young chimps	26	26/10/2018	17	2	Training02	8	l	grey	box	2	upper	l	1					
Tess	kenya	f	young chimps	26	26/10/2018	17	2	Training02	9	r	box	grey	2	upper	r	1					
Tess	kenya	f	young chimps	26	26/10/2018	17	2	Training02	10	l	grey	box	1	lower	l	1					
Tess	kenya	f	young chimps	26	26/10/2018	17	2	Training02	11	r	grey	box	1	lower	r	1					
Tess	kenya	f	young chimps	26	26/10/2018	17	2	Training02	12	l	box	grey	1	lower	l	1					
William	kenya	m	young chimps	18	26/10/2018	17	2	Training02	1	r	box	grey	1	lower	l	0					
William	kenya	m	young chimps	18	26/10/2018	17	2	Training02	2	l	box	grey	1	lower	l	1					
William	kenya	m	young chimps	18	26/10/2018	17	2	Training02	3	r	grey	box	1	lower	l	0					
William	kenya	m	young chimps	18	26/10/2018	17	2	Training02	4	l	grey	box	1	lower	l	1					
William	kenya	m	young chimps	18	26/10/2018	17	2	Training02	5	r	box	grey	1	lower	l	0					
William	kenya	m	young chimps	18	26/10/2018	17	2	Training02	6	l	box	grey	1	lower	l	1					
William	kenya	m	young chimps	18	26/10/2018	17	2	Training02	7	r	grey	box	1	lower	r	1					
William	kenya	m	young chimps	18	26/10/2018	17	2	Training02	8	l	grey	box	1	lower	l	1					
William	kenya	m	young chimps	18	26/10/2018	17	2	Training02	9	r	box	grey	2	lower	l	0					
William	kenya	m	young chimps	18	26/10/2018	17	2	Training02	10	l	grey	box	2	upper	l	1					
William	kenya	m	young chimps	18	26/10/2018	17	2	Training02	11	r	grey	box	2	upper	l	0					
William	kenya	m	young chimps	18	26/10/2018	17	2	Training02	12	l	box	grey	2	lower	r	0					
William	kenya	m	young chimps	18	26/10/2018	17	2	Training02	13	r	grey	box	2	upper	r	1					
William	kenya	m	young chimps	18	26/10/2018	17	2	Training02	14	l	grey	box	2	upper	l	1					
William	kenya	m	young chimps	18	26/10/2018	17	2	Training02	15	r	box	grey	2	upper	r	1					
William	kenya	m	young chimps	18	26/10/2018	17	2	Training02	16	l	box	grey	1	lower	l	1					
William	kenya	m	young chimps	18	26/10/2018	17	2	Training02	17	r	grey	box	1	lower	l	0					
William	kenya	m	young chimps	18	26/10/2018	17	2	Training02	18	l	grey	box	1	lower	l	1					
William	kenya	m	young chimps	18	26/10/2018	17	2	Training02	19	r	box	grey	1	lower	r	1					
Manno	kenya	m	young chimps	5	26/10/2018	17	2	Training02	1	r	box	grey	1	lower	l	0					
Manno	kenya	m	young chimps	5	26/10/2018	17	2	Training02	2	l	box	grey	1	lower	l	1					
Manno	kenya	m	young chimps	5	26/10/2018	17	2	Training02	3	r	grey	box	1	lower	r	1					
Manno	kenya	m	young chimps	5	26/10/2018	17	2	Training02	4	l	grey	box	1	lower	l	1					
Manno	kenya	m	young chimps	5	26/10/2018	17	2	Training02	5	r	box	grey	2	lower	l	0					
Manno	kenya	m	young chimps	5	26/10/2018	17	2	Training02	6	l	box	grey	2	upper	l	1					
Manno	kenya	m	young chimps	5	26/10/2018	17	2	Training02	7	r	grey	box	2	lower	l	0					
Manno	kenya	m	young chimps	5	26/10/2018	17	2	Training02	8	l	grey	box	2	upper	r	0					
Manno	kenya	m	young chimps	5	26/10/2018	17	2	Training02	9	r	box	grey	2	upper	r	1					
Manno	kenya	m	young chimps	5	26/10/2018	17	2	Training02	10	l	grey	box	2	upper	l	1					
Manno	kenya	m	young chimps	5	26/10/2018	17	2	Training02	11	r	grey	box	2	upper	r	1					
Manno	kenya	m	young chimps	5	26/10/2018	17	2	Training02	12	l	box	grey	1	lower	l	1					
Manno	kenya	m	young chimps	5	26/10/2018	17	2	Training02	13	r	grey	box	1	lower	r	1					
Manno	kenya	m	young chimps	5	26/10/2018	17	2	Training02	14	l	grey	box	1	lower	l	1					
Jane	kenya	f	young chimps	14	26/10/2018	17	2	Training02	1	r	box	grey	1	upper	l	0					
Jane	kenya	f	young chimps	14	26/10/2018	17	2	Training02	2	l	box	grey	1	upper	l	0					
Jane	kenya	f	young chimps	14	26/10/2018	17	2	Training02	3	r	grey	box	1	upper	l	0					
Jane	kenya	f	young chimps	14	26/10/2018	17	2	Training02	4	l	grey	box	1	lower	r	0					
Jane	kenya	f	young chimps	14	26/10/2018	17	2	Training02	5	r	box	grey	1	lower	r	1					
Jane	kenya	f	young chimps	14	26/10/2018	17	2	Training02	6	l	box	grey	1	lower	l	1					
Jane	kenya	f	young chimps	14	26/10/2018	17	2	Training02	7	r	grey	box	1	lower	r	1					
Jane	kenya	f	young chimps	14	26/10/2018	17	2	Training02	8	l	grey	box	2	lower	r	0					
Jane	kenya	f	young chimps	14	26/10/2018	17	2	Training02	9	r	box	grey	2	upper	r	1					
Jane	kenya	f	young chimps	14	26/10/2018	17	2	Training02	10	l	grey	box	2	upper	l	1					
Jane	kenya	f	young chimps	14	26/10/2018	17	2	Training02	11	r	grey	box	2	upper	l	0					
Jane	kenya	f	young chimps	14	26/10/2018	17	2	Training02	12	l	box	grey	2	lower	r	0					
Jane	kenya	f	young chimps	14	26/10/2018	17	2	Training02	13	r	grey	box	2	upper	r	1					
Jane	kenya	f	young chimps	14	26/10/2018	17	2	Training02	14	l	grey	box	2	upper	r	0					
Jane	kenya	f	young chimps	14	26/10/2018	17	2	Training02	15	r	box	grey	2	upper	r	1					
Jane	kenya	f	young chimps	14	26/10/2018	17	2	Training02	16	l	box	grey	2	upper	l	1					
Jane	kenya	f	young chimps	14	26/10/2018	17	2	Training02	17	r	grey	box	2	upper	r	1					
Jane	kenya	f	young chimps	14	26/10/2018	17	2	Training02	18	l	grey	box	1	lower	l	1					
Jane	kenya	f	young chimps	14	26/10/2018	17	2	Training02	19	l	box	grey	1	lower	r	0					
Jane	kenya	f	young chimps	14	26/10/2018	17	2	Training02	20	r	box	grey	1	lower	r	1					
Jane	kenya	f	young chimps	14	26/10/2018	17	2	Training02	21	l	box	grey	1	lower	l	1					
Roy	kenya	m	young chimps	11	26/10/2018	17	2	Training02	1	r	box	grey	1	lower	r	1					
Roy	kenya	m	young chimps	11	26/10/2018	17	2	Training02	2	l	box	grey	1	lower	l	1					
Roy	kenya	m	young chimps	11	26/10/2018	17	2	Training02	3	r	grey	box	1	lower	r	1					
Roy	kenya	m	young chimps	11	26/10/2018	17	2	Training02	4	l	grey	box	2	upper	l	1					
Roy	kenya	m	young chimps	11	26/10/2018	17	2	Training02	5	r	box	grey	2	upper	r	1					
Roy	kenya	m	young chimps	11	26/10/2018	17	2	Training02	6	l	box	grey	2	upper	l	1					
Uruhara	kenya	m	young chimps	29	26/10/2018	17	2	Training01	37	r			2		r	1					
Uruhara	kenya	m	young chimps	29	26/10/2018	17	2	Training02	1	l	grey	box	1	lower	r	0					
Uruhara	kenya	m	young chimps	29	26/10/2018	17	2	Training02	2	r	box	grey	1	lower	r	1					
Uruhara	kenya	m	young chimps	29	26/10/2018	17	2	Training02	3	l	box	grey	1	lower	r	0					
Uruhara	kenya	m	young chimps	29	26/10/2018	17	2	Training02	4	r	grey	box	1	lower	r	1					
Uruhara	kenya	m	young chimps	29	26/10/2018	17	2	Training02	5	l	grey	box	1	lower	l	1					
Uruhara	kenya	m	young chimps	29	26/10/2018	17	2	Training02	6	l	box	grey	1	lower	l	1					
Uruhara	kenya	m	young chimps	29	26/10/2018	17	2	Training02	7	r	box	grey	2	lower	l	0					
Uruhara	kenya	m	young chimps	29	26/10/2018	17	2	Training02	8	l	box	grey	2	lower	r	1					
Uruhara	kenya	m	young chimps	29	26/10/2018	17	2	Training02	9	r	box	grey	2	upper	r	1					
Uruhara	kenya	m	young chimps	29	26/10/2018	17	2	Training02	10	l	grey	box	2	upper	r	0					
Uruhara	kenya	m	young chimps	29	26/10/2018	17	2	Training02	11	r	grey	box	2	upper	r	1					
Uruhara	kenya	m	young chimps	29	26/10/2018	17	2	Training02	12	r	box	grey	2	upper	r	1					
Uruhara	kenya	m	young chimps	29	26/10/2018	17	2	Training02	13	l	box	grey	2	upper	r	0					
Uruhara	kenya	m	young chimps	29	26/10/2018	17	2	Training02	14	r	grey	box	2	upper	r	1					
Uruhara	kenya	m	young chimps	29	26/10/2018	17	2	Training02	15	l	grey	box	2	upper	l	1					
Uruhara	kenya	m	young chimps	29	26/10/2018	17	2	Training02	16	r	box	grey	2	upper	r	1					
Uruhara	kenya	m	young chimps	29	26/10/2018	17	2	Training02	17	l	box	grey	1	lower	l	1					
Uruhara	kenya	m	young chimps	29	26/10/2018	17	2	Training02	18	r	grey	box	1	lower	r	1					
Uruhara	kenya	m	young chimps	29	26/10/2018	17	2	Training02	19	l	grey	box	1	lower	l	1					
Chipie	kenya	f	young chimps	27	26/10/2018	17	2	Training01	1	r			2		r	1					
Chipie	kenya	f	young chimps	27	26/10/2018	17	2	Training01	2	l			2		r	0					
Chipie	kenya	f	young chimps	27	26/10/2018	17	2	Training01	3	r			2		r	1					
Chipie	kenya	f	young chimps	27	26/10/2018	17	2	Training01	4	l			2		r	0					
Chipie	kenya	f	young chimps	27	26/10/2018	17	2	Training01	5	r			2		r	1					
Chipie	kenya	f	young chimps	27	26/10/2018	17	2	Training01	6	l			2		l	1					
Chipie	kenya	f	young chimps	27	26/10/2018	17	2	Training01	7	l			2		r	0					
Chipie	kenya	f	young chimps	27	26/10/2018	17	2	Training01	8	r			2		r	1					
Chipie	kenya	f	young chimps	27	26/10/2018	17	2	Training01	9	l			2		r	0					
Chipie	kenya	f	young chimps	27	26/10/2018	17	2	Training01	10	r			2		r	1					
Chipie	kenya	f	young chimps	27	26/10/2018	17	2	Training01	11	l			2		r	0					
Chipie	kenya	f	young chimps	27	26/10/2018	17	2	Training01	12	r			2		r	1					
Chipie	kenya	f	young chimps	27	26/10/2018	17	2	Training01	13	l			2		r	0					
Chipie	kenya	f	young chimps	27	26/10/2018	17	2	Training01	14	r			2		r	1					
Chipie	kenya	f	young chimps	27	26/10/2018	17	2	Training01	15	r			2		r	1					
Chipie	kenya	f	young chimps	27	26/10/2018	17	2	Training01	16	l			2		r	0					
Chipie	kenya	f	young chimps	27	26/10/2018	17	2	Training01	17	r			2		r	1					
Chipie	kenya	f	young chimps	27	26/10/2018	17	2	Training01	18	l			2		l	1					
Chipie	kenya	f	young chimps	27	26/10/2018	17	2	Training01	19	r			2		r	1					
Chipie	kenya	f	young chimps	27	26/10/2018	17	2	Training02	20	l	grey	box	1	lower	l	1					
Chipie	kenya	f	young chimps	27	26/10/2018	17	2	Training02	21	r	box	grey	1	lower	r	1					
Chipie	kenya	f	young chimps	27	26/10/2018	17	2	Training02	22	l	grey	box	1	lower	l	1					
Chipie	kenya	f	young chimps	27	26/10/2018	17	2	Training02	23	r	grey	box	2	upper	r	1					
Chipie	kenya	f	young chimps	27	26/10/2018	17	2	Training02	24	l	box	grey	2	upper	r	0					
Chipie	kenya	f	young chimps	27	26/10/2018	17	2	Training02	25	r	grey	box	2	upper	r	1					
Chipie	kenya	f	young chimps	27	26/10/2018	17	2	Training02	26	l	grey	box	2	upper	r	0					
Chipie	kenya	f	young chimps	27	26/10/2018	17	2	Training02	27	r	box	grey	2	upper	r	1					
Chipie	kenya	f	young chimps	27	26/10/2018	17	2	Training02	28	l	box	grey	2	upper	l	1					
Chipie	kenya	f	young chimps	27	26/10/2018	17	2	Training02	29	r	grey	box	2	upper	r	1					
Chipie	kenya	f	young chimps	27	26/10/2018	17	2	Training02	30	l	grey	box	1	lower	l	1					
Chipie	kenya	f	young chimps	27	26/10/2018	17	2	Training02	31	l	box	grey	1	lower	l	1					
Chipie	kenya	f	young chimps	27	26/10/2018	17	2	Training02	32	r	box	grey	1	lower	r	1					
Tess	kenya	f	young chimps	26	27/10/2018	18	3	Test	1	l	D1	D2	1	lower	r	0					
Tess	kenya	f	young chimps	26	27/10/2018	18	3	Test	2	r	D2	D1	1	lower	r	1					
Tess	kenya	f	young chimps	26	27/10/2018	18	3	Test	3	r	D1	D2	1	lower	r	1					
